"divipola","departamento","municipio","vigencia","femenino","masculino","no binario","género no responde","primera infancia 0 a 5 años","infancia 6 a 11 años","adolescencia 12 a 17 años","juventud 18 a 29 años","adultez 29 a 59 años","personas mayores 60 o más años","negros, afrocolombianos, raizales y palenqueros","indígenas","rrom","urbano","rural","LGBTIQ+","personas con discapacidad","personas defensoras de derechos humanos y liderazgo social","personas campesinas","persona en proceso de reincorporacion","víctimas","total personas de atendidas","Centroide del municipio"
"70204","Sucre","Colosó","2,024","11","7","0","0","0","7","3","4","4","0","0","1","0","0","0","0","0","0","0","0","0","18","POINT (-75.353256 9.494192)"
"19300","Cauca","Guachené","2,024","216","230","0","0","0","18","385","38","4","1","446","0","0","0","0","0","0","0","0","0","0","446","POINT (-76.392189 3.134153)"
"54498","Norte de Santander","Ocaña","2,024","189","215","0","3","6","261","94","25","20","1","2","0","0","0","0","1","11","0","0","0","0","407","POINT (-73.355889 8.247588)"
"41660","Huila","Saladoblanco","2,024","9","3","0","0","0","0","0","3","7","2","0","0","0","0","0","0","0","0","0","0","0","12","POINT (-76.044141 1.992495)"
"15861","Boyacá","Ventaquemada","2,024","52","67","0","0","0","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119","POINT (-73.522368 5.368739)"
"47318","Magdalena","Guamal","2,026","111","129","0","0","1","118","118","3","0","0","0","0","0","0","0","0","0","0","0","0","0","240","POINT (-74.223689 9.144354)"
"20787","Cesar","Tamalameque","2,023","1","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","POINT (-73.812172 8.861725)"
"68322","Santander","Guapotá","2,025","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","POINT (-73.320699 6.308588)"
"25873","Cundinamarca","Villapinzón","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.595704 5.216393)"
"73520","Tolima","Palocabildo","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.022198 5.120972)"
"94883","Guainía","San Felipe (Anm)","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-67.067848 1.912495)"
"68211","Santander","Contratación","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.474426 6.290561)"
"73622","Tolima","Roncesvalles","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.606561 4.012888)"
"05364","Antioquia","Jardín","2,025","278","284","0","8","87","360","102","11","7","3","2","0","0","0","0","0","7","0","191","0","0","570","POINT (-75.818982 5.597542)"
"17877","Caldas","Viterbo","2,025","346","415","0","0","29","381","327","12","11","1","1","7","0","0","0","0","19","0","157","0","0","761","POINT (-75.87061 5.062664)"
"66440","Risaralda","Marsella","2,025","663","727","0","0","106","774","462","39","9","0","5","269","0","0","0","0","38","0","604","0","0","1,390","POINT (-75.738576 4.935559)"
"17653","Caldas","Salamina","2,025","260","260","0","1","38","214","254","12","3","0","0","0","0","0","0","0","17","0","25","0","0","521","POINT (-75.487223 5.403025)"
"54599","Norte de Santander","Ragonvalia","2,025","181","207","0","0","13","318","55","0","2","0","0","0","0","0","0","0","0","0","123","0","0","388","POINT (-72.476708 7.577861)"
"13430","Bolívar","Magangué","2,024","445","399","0","0","1","130","620","46","35","12","51","4","0","0","0","0","0","0","0","0","0","844","POINT (-74.770175 9.26854)"
"25394","Cundinamarca","La Palma","2,024","4","3","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","7","POINT (-74.391022 5.358816)"
"41548","Huila","Pital","2,024","3","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","POINT (-75.805174 2.26752)"
"70215","Sucre","Corozal","2,024","119","80","0","0","0","158","17","5","13","6","7","9","0","0","0","0","0","0","0","0","0","199","POINT (-75.293067 9.31875)"
"17541","Caldas","Pensilvania","2,024","299","269","0","0","28","434","100","6","0","0","0","0","0","0","0","0","0","0","0","0","0","568","POINT (-75.160299 5.383281)"
"68770","Santander","Suaita","2,024","194","216","0","0","13","226","145","23","3","0","0","0","0","0","0","0","0","0","0","0","0","410","POINT (-73.438416 6.103542)"
"15690","Boyacá","Santa María","2,023","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","POINT (-73.263518 4.857193)"
"13655","Bolívar","San Jacinto del Cauca","2,026","61","62","0","0","0","17","103","3","0","0","0","0","0","0","0","0","0","0","123","0","0","123","POINT (-74.721083 8.251599)"
"23300","Córdoba","Cotorra","2,026","242","287","0","0","69","267","166","27","0","0","1","74","0","0","0","0","1","0","57","0","0","529","POINT (-75.799216 9.037163)"
"68547","Santander","Piedecuesta","2,026","214","246","0","0","0","161","299","0","0","0","1","0","0","0","0","0","7","0","11","0","0","460","POINT (-73.054493 6.997272)"
"25862","Cundinamarca","Vergara","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.346163 5.117258)"
"05790","Antioquia","Tarazá","2,025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.401407 7.580127)"
"15425","Boyacá","Macanal","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.319593 4.972464)"
"68872","Santander","Villanueva","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.174307 6.670078)"
"76400","Valle del Cauca","La Unión","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-76.099661 4.533869)"
"70215","Sucre","Corozal","2,025","627","547","0","0","27","738","399","5","4","1","0","3","0","0","0","0","17","0","443","0","0","1,174","POINT (-75.293067 9.31875)"
"17541","Caldas","Pensilvania","2,025","439","409","0","0","44","562","240","2","0","0","0","0","0","0","0","0","2","0","173","0","0","848","POINT (-75.160299 5.383281)"
"25148","Cundinamarca","Caparrapí","2,025","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","POINT (-74.490708 5.34901)"
"63594","Quindío","Quimbaya","2,024","211","218","0","0","8","227","183","7","4","0","3","2","0","0","0","0","0","0","0","0","0","429","POINT (-75.765074 4.624387)"
"05854","Antioquia","Valdivia","2,023","4","2","0","0","0","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","POINT (-75.439274 7.1652)"
"47460","Magdalena","Nueva Granada","2,023","0","6","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","POINT (-74.391841 9.80186)"
"15600","Boyacá","Ráquira","2,023","4","1","0","0","0","0","0","4","1","0","1","0","0","0","0","0","0","0","0","0","0","5","POINT (-73.632543 5.539136)"
"08520","Atlántico","Palmar de Varela","2,023","10","19","0","0","0","0","0","27","2","0","0","1","0","0","0","0","1","0","0","0","0","29","POINT (-74.754765 10.738591)"
"25772","Cundinamarca","Suesca","2,023","17","4","0","0","0","1","0","8","12","0","0","0","0","0","0","0","2","0","0","0","0","21","POINT (-73.798227 5.103495)"
"52079","Nariño","Barbacoas","2,026","106","110","0","0","0","84","130","2","0","0","126","58","0","0","0","0","1","0","130","0","0","216","POINT (-78.139425 1.670423)"
"17777","Caldas","Supía","2,026","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","POINT (-75.64966 5.446843)"
"20175","Cesar","Chimichagua","2,026","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","POINT (-73.813278 9.25875)"
"97001","Vaupés","Mitú","2,026","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","POINT (-70.232641 1.253151)"
"47258","Magdalena","El Piñón","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.823263 10.403071)"
"25260","Cundinamarca","El Rosal","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.263767 4.85226)"
"41078","Huila","Baraya","2,025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.055253 3.152983)"
"05264","Antioquia","Entrerríos","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.517685 6.566273)"
"66687","Risaralda","Santuario","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.962196 5.072762)"
"73319","Tolima","Guamo","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.968135 4.030992)"
"63001","Quindío","Armenia","2,025","2,029","2,019","0","6","19","2,182","1,777","32","41","3","33","26","2","0","0","0","247","0","0","0","0","4,054","POINT (-75.680787 4.53598)"
"41660","Huila","Saladoblanco","2,025","1","7","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","3","0","0","8","POINT (-76.044141 1.992495)"
"13744","Bolívar","Simití","2,025","381","405","0","0","16","420","330","9","11","0","1","0","0","0","0","0","0","0","574","0","0","786","POINT (-73.946715 7.9546)"
"73520","Tolima","Palocabildo","2,025","50","56","0","0","17","78","11","0","0","0","0","0","0","0","0","0","0","0","36","0","0","106","POINT (-75.022198 5.120972)"
"25148","Cundinamarca","Caparrapí","2,024","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","POINT (-74.490708 5.34901)"
"41078","Huila","Baraya","2,024","5","4","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","9","POINT (-75.055253 3.152983)"
"15835","Boyacá","Turmequé","2,023","6","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","POINT (-73.491825 5.323261)"
"68689","Santander","San Vicente de Chucurí","2,023","9","2","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","11","POINT (-73.411024 6.880383)"
"27430","Chocó","Medio Baudó","2,023","2","2","0","0","0","0","0","2","2","0","4","0","0","0","0","0","0","0","0","0","0","4","POINT (-76.950891 5.192471)"
"68162","Santander","Cerrito","2,023","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","POINT (-72.692345 6.844244)"
"19533","Cauca","Piamonte","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-76.327892 1.119414)"
"25436","Cundinamarca","Manta","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.540444 5.009008)"
"15839","Boyacá","Tutazá","2,025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-72.856035 6.032608)"
"19290","Cauca","Florencia","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-77.072547 1.682535)"
"85250","Casanare","Paz de Ariporo","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-71.890348 5.879827)"
"05656","Antioquia","San Jerónimo","2,025","382","348","0","0","78","251","392","5","4","0","45","58","0","0","0","0","1","0","318","0","0","730","POINT (-75.726975 6.44809)"
"70742","Sucre","San Luis de Sincé","2,025","138","121","0","0","36","84","121","10","6","2","0","26","0","0","0","0","0","0","130","0","0","259","POINT (-75.145995 9.244307)"
"47161","Magdalena","Cerro de San Antonio","2,025","313","302","0","0","3","196","389","15","12","0","100","0","0","0","0","0","1","0","165","0","0","615","POINT (-74.868481 10.325621)"
"25293","Cundinamarca","Gachalá","2,025","56","48","0","0","10","57","37","0","0","0","0","0","0","0","0","0","6","0","1","0","0","104","POINT (-73.520161 4.693579)"
"08770","Atlántico","Suan","2,025","184","237","0","0","0","186","205","9","21","0","4","0","0","0","0","0","0","0","1","0","0","421","POINT (-74.881687 10.335432)"
"47205","Magdalena","Concordia","2,025","255","290","0","0","3","246","290","3","1","2","1","0","0","0","0","0","3","0","336","0","0","545","POINT (-74.83303 10.257314)"
"44001","La Guajira","Riohacha","2,024","668","684","0","2","3","590","690","60","7","4","108","356","0","0","0","0","4","0","0","0","0","1,354","POINT (-72.911797 11.528588)"
"17653","Caldas","Salamina","2,024","236","209","0","0","26","97","295","26","1","0","0","0","0","0","0","0","0","0","0","0","0","445","POINT (-75.487223 5.403025)"
"63001","Quindío","Armenia","2,024","313","282","0","2","0","280","281","21","13","2","18","3","0","0","0","1","0","0","0","0","0","597","POINT (-75.680787 4.53598)"
"17001","Caldas","Manizales","2,023","125","128","0","0","0","138","51","21","43","1","1","0","0","0","0","0","1","0","0","0","0","254","POINT (-75.491018 5.057655)"
"54518","Norte de Santander","Pamplona","2,023","20","18","1","0","0","0","0","31","8","0","0","0","0","0","0","0","0","0","0","0","0","39","POINT (-72.647715 7.372816)"
"13688","Bolívar","Santa Rosa del Sur","2,026","312","329","0","0","36","293","309","3","0","0","0","0","0","0","0","0","0","0","581","0","0","641","POINT (-74.052943 7.963626)"
"15051","Boyacá","Arcabuco","2,023","2","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","POINT (-73.438111 5.755381)"
"68498","Santander","Ocamonte","2,023","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","POINT (-73.122563 6.339988)"
"73461","Tolima","Murillo","2,023","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","POINT (-75.170787 4.875071)"
"85015","Casanare","Chámeza","2,026","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","POINT (-72.87016 5.214527)"
"05652","Antioquia","San Francisco","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.101467 5.961785)"
"05667","Antioquia","San Rafael","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.02849 6.293759)"
"15514","Boyacá","Páez","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.054496 5.094621)"
"15537","Boyacá","Paz de Río","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-72.749137 5.987645)"
"15638","Boyacá","Sáchica","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.542539 5.584305)"
"54174","Norte de Santander","Chitagá","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-72.665468 7.138187)"
"44001","La Guajira","Riohacha","2,025","1,648","1,688","0","7","58","1,792","1,373","50","57","13","296","1,409","0","0","0","0","8","0","240","0","0","3,343","POINT (-72.911797 11.528588)"
"19300","Cauca","Guachené","2,025","223","207","0","0","0","226","193","0","10","1","428","0","0","0","0","0","0","0","0","0","0","430","POINT (-76.392189 3.134153)"
"54520","Norte de Santander","Pamplonita","2,025","284","372","0","0","19","379","251","3","4","0","0","1","0","0","0","0","17","0","345","0","0","656","POINT (-72.63925 7.436775)"
"19513","Cauca","Padilla","2,024","269","285","0","0","12","220","309","12","1","0","352","0","0","0","0","0","13","0","0","0","0","554","POINT (-76.313265 3.220984)"
"68669","Santander","San Andrés","2,024","326","300","0","0","3","131","455","37","0","0","28","0","0","0","0","0","20","0","0","0","0","626","POINT (-72.848696 6.812318)"
"05129","Antioquia","Caldas","2,024","168","142","0","0","24","157","114","7","7","1","0","0","0","0","0","0","6","0","0","0","0","310","POINT (-75.633619 6.091296)"
"13248","Bolívar","El Guamo","2,023","5","5","0","0","0","3","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","10","POINT (-74.976102 10.030874)"
"66594","Risaralda","Quinchía","2,023","17","5","1","0","0","0","15","8","0","0","0","1","0","0","0","0","1","0","0","0","0","23","POINT (-75.730431 5.340456)"
"68322","Santander","Guapotá","2,024","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","POINT (-73.320699 6.308588)"
"73024","Tolima","Alpujarra","2,023","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","POINT (-74.9329 3.391548)"
"25335","Cundinamarca","Guayabetal","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.815107 4.215306)"
"25596","Cundinamarca","Quipile","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.533705 4.74481)"
"52381","Nariño","La Florida","2,025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-77.407372 1.299257)"
"23580","Córdoba","Puerto Libertador","2,025","643","609","0","0","0","284","959","9","0","0","2","66","0","0","0","0","8","0","0","0","0","1,252","POINT (-75.671761 7.888859)"
"25126","Cundinamarca","Cajicá","2,025","222","302","0","0","12","183","314","11","4","0","0","0","0","0","0","0","39","0","0","0","0","524","POINT (-74.02298 4.920009)"
"25214","Cundinamarca","Cota","2,025","100","73","0","0","0","49","111","1","10","2","0","0","0","0","0","0","3","0","2","0","0","173","POINT (-74.102694 4.812817)"
"15367","Boyacá","Jenesano","2,025","0","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","POINT (-73.363738 5.385813)"
"25326","Cundinamarca","Guatavita","2,024","8","15","0","0","0","0","2","3","14","4","1","0","0","0","0","0","0","0","0","0","0","23","POINT (-73.832893 4.934214)"
"13744","Bolívar","Simití","2,024","248","261","0","0","12","220","243","28","5","1","1","0","0","0","0","0","1","0","0","0","0","509","POINT (-73.946715 7.9546)"
"54720","Norte de Santander","Sardinata","2,023","16","15","0","0","0","1","7","15","8","0","0","0","0","0","0","0","0","0","0","0","0","31","POINT (-72.800577 8.082105)"
"68167","Santander","Charalá","2,026","52","46","0","0","8","48","41","1","0","0","0","0","0","0","0","0","0","0","98","0","0","98","POINT (-73.146873 6.284339)"
"52019","Nariño","Albán","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-77.080712 1.474978)"
"76250","Valle del Cauca","El Dovio","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-76.237084 4.510452)"
"05321","Antioquia","Guatapé","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.162293 6.232669)"
"52685","Nariño","San Bernardo","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-77.047412 1.514298)"
"76869","Valle del Cauca","Vijes","2,025","143","166","0","0","0","148","160","0","1","0","0","14","0","0","0","0","5","0","0","0","0","309","POINT (-76.441804 3.698686)"
"86885","Putumayo","Villagarzón","2,024","289","301","0","0","3","256","273","27","30","1","2","100","0","0","0","0","5","0","0","0","0","590","POINT (-76.61721 1.028821)"
"85440","Casanare","Villanueva","2,024","216","364","0","0","1","344","214","18","3","0","0","0","0","0","0","0","0","0","0","0","0","580","POINT (-72.927446 4.610006)"
"68397","Santander","La Paz","2,023","3","3","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","POINT (-73.58959 6.178509)"
"68296","Santander","Galán","2,023","5","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","5","POINT (-73.287765 6.638415)"
"76834","Valle del Cauca","Tuluá","2,023","17","12","0","0","0","0","0","10","15","4","0","0","0","0","0","0","0","0","0","0","0","29","POINT (-76.19761 4.085335)"
"27075","Chocó","Bahía Solano","2,026","159","154","0","0","40","190","69","14","0","0","195","99","0","0","0","0","2","0","221","0","0","313","POINT (-77.401633 6.22127)"
"70508","Sucre","Ovejas","2,026","195","266","0","0","20","250","190","0","1","0","0","3","0","0","0","0","3","0","220","0","0","461","POINT (-75.229037 9.527176)"
"05856","Antioquia","Valparaíso","2,024","1","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","POINT (-75.624452 5.614555)"
"27050","Chocó","Atrato","2,023","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","2","POINT (-76.635674 5.531419)"
"05138","Antioquia","Cañasgordas","2,023","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","POINT (-76.03221 6.759478)"
"15804","Boyacá","Tibaná","2,024","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","POINT (-73.396457 5.317251)"
